x-axis,D0-D7,D8-D15
second,,
+51.6000E-03,0,128
+51.8000E-03,0,128
+52.0000E-03,0,128
+52.2000E-03,0,128
+52.4000E-03,0,128
+52.6000E-03,0,128
+52.8000E-03,0,128
+53.0000E-03,0,128
+53.2000E-03,255,191
+53.4000E-03,10,128
+53.6000E-03,10,0
+53.8000E-03,10,0
+54.0000E-03,10,0
+54.2000E-03,10,0
+54.4000E-03,10,0
+54.6000E-03,10,0
+54.8000E-03,10,0
+55.0000E-03,10,0
+55.2000E-03,10,0
+55.4000E-03,10,0
+55.6000E-03,10,64
+55.8000E-03,0,64
+56.0000E-03,0,64
+56.2000E-03,0,64
+56.4000E-03,0,64
+56.6000E-03,0,64
+56.8000E-03,0,64
+57.0000E-03,0,64
+57.2000E-03,0,64
+57.4000E-03,0,64
+57.6000E-03,0,64
+57.8000E-03,0,64
+58.0000E-03,255,223
+58.2000E-03,15,208
+58.4000E-03,15,0
+58.6000E-03,15,0
+58.8000E-03,15,0
+59.0000E-03,15,0
+59.2000E-03,15,0
+59.4000E-03,15,0
+59.6000E-03,15,0
+59.8000E-03,15,0
+60.0000E-03,15,0
+60.2000E-03,15,0
+60.4000E-03,15,32
+60.6000E-03,0,32
+60.8000E-03,0,32
+61.0000E-03,0,32
+61.2000E-03,0,32
+61.4000E-03,0,32
+61.6000E-03,0,32
+61.8000E-03,0,32
+62.0000E-03,0,32
+62.2000E-03,0,32
+62.4000E-03,0,32
+62.6000E-03,0,32
+62.8000E-03,255,239
+63.0000E-03,7,224
+63.2000E-03,7,224
+63.4000E-03,7,0
+63.6000E-03,7,0
+63.8000E-03,7,0
+64.0000E-03,7,0
+64.2000E-03,7,0
+64.4000E-03,7,0
+64.6000E-03,7,0
+64.8000E-03,7,0
+65.0000E-03,7,0
+65.2000E-03,7,16
+65.4000E-03,0,16
+65.6000E-03,0,16
+65.8000E-03,0,16
+66.0000E-03,0,16
+66.2000E-03,0,16
+66.4000E-03,0,16
+66.6000E-03,0,16
+66.8000E-03,0,16
+67.0000E-03,0,16
+67.2000E-03,0,16
+67.4000E-03,0,16
+67.6000E-03,0,16
+67.8000E-03,255,127
+68.0000E-03,15,64
+68.2000E-03,15,0
+68.4000E-03,15,0
+68.6000E-03,15,0
+68.8000E-03,15,0
+69.0000E-03,15,0
+69.2000E-03,15,0
+69.4000E-03,15,0
+69.6000E-03,15,0
+69.8000E-03,15,0
+70.0000E-03,15,0
+70.2000E-03,15,128
+70.4000E-03,0,128
+70.6000E-03,0,128
+70.8000E-03,0,128
+71.0000E-03,0,128
+71.2000E-03,0,128
+71.4000E-03,0,128
+71.6000E-03,0,128
+71.8000E-03,0,128
+72.0000E-03,0,128
+72.2000E-03,0,128
+72.4000E-03,0,128
+72.6000E-03,255,191
+72.8000E-03,10,128
+73.0000E-03,10,0
+73.2000E-03,10,0
+73.4000E-03,10,0
+73.6000E-03,10,0
+73.8000E-03,10,0
+74.0000E-03,10,0
+74.2000E-03,10,0
+74.4000E-03,10,0
+74.6000E-03,10,0
+74.8000E-03,10,0
+75.0000E-03,10,64
+75.2000E-03,0,64
+75.4000E-03,0,64
+75.6000E-03,0,64
+75.8000E-03,0,64
+76.0000E-03,0,64
+76.2000E-03,0,64
+76.4000E-03,0,64
+76.6000E-03,0,64
+76.8000E-03,0,64
+77.0000E-03,0,64
+77.2000E-03,0,64
+77.4000E-03,255,223
+77.6000E-03,15,208
+77.8000E-03,15,0
+78.0000E-03,15,0
+78.2000E-03,15,0
+78.4000E-03,15,0
+78.6000E-03,15,0
+78.8000E-03,15,0
+79.0000E-03,15,0
+79.2000E-03,15,0
+79.4000E-03,15,0
+79.6000E-03,15,0
+79.8000E-03,15,32
+80.0000E-03,0,32
+80.2000E-03,0,32
+80.4000E-03,0,32
+80.6000E-03,0,32
+80.8000E-03,0,32
+81.0000E-03,0,32
+81.2000E-03,0,32
+81.4000E-03,0,32
+81.6000E-03,0,32
+81.8000E-03,0,32
+82.0000E-03,0,32
+82.2000E-03,255,239
+82.4000E-03,7,224
+82.6000E-03,7,0
+82.8000E-03,7,0
+83.0000E-03,7,0
+83.2000E-03,7,0
+83.4000E-03,7,0
+83.6000E-03,7,0
+83.8000E-03,7,0
+84.0000E-03,7,0
+84.2000E-03,7,0
+84.4000E-03,7,0
+84.6000E-03,7,16
+84.8000E-03,0,16
+85.0000E-03,0,16
+85.2000E-03,0,16
+85.4000E-03,0,16
+85.6000E-03,0,16
+85.8000E-03,0,16
+86.0000E-03,0,16
+86.2000E-03,0,16
+86.4000E-03,0,16
+86.6000E-03,0,16
+86.8000E-03,0,16
+87.0000E-03,255,127
+87.2000E-03,255,127
+87.4000E-03,15,0
+87.6000E-03,15,0
+87.8000E-03,15,0
+88.0000E-03,15,0
+88.2000E-03,15,0
+88.4000E-03,15,0
+88.6000E-03,15,0
+88.8000E-03,15,0
+89.0000E-03,15,0
+89.2000E-03,15,0
+89.4000E-03,15,0
+89.6000E-03,15,128
+89.8000E-03,0,128
+90.0000E-03,0,128
+90.2000E-03,0,128
+90.4000E-03,0,128
+90.6000E-03,0,128
+90.8000E-03,0,128
+91.0000E-03,0,128
+91.2000E-03,0,128
+91.4000E-03,0,128
+91.6000E-03,0,128
+91.8000E-03,0,128
+92.0000E-03,255,191
+92.2000E-03,10,0
+92.4000E-03,10,0
+92.6000E-03,10,0
+92.8000E-03,10,0
+93.0000E-03,10,0
+93.2000E-03,10,0
+93.4000E-03,10,0
+93.6000E-03,10,0
+93.8000E-03,10,0
+94.0000E-03,10,0
+94.2000E-03,10,0
+94.4000E-03,10,64
+94.6000E-03,0,64
+94.8000E-03,0,64
+95.0000E-03,0,64
+95.2000E-03,0,64
+95.4000E-03,0,64
+95.6000E-03,0,64
+95.8000E-03,0,64
+96.0000E-03,0,64
+96.2000E-03,0,64
+96.4000E-03,0,64
+96.6000E-03,0,64
+96.8000E-03,255,223
+97.0000E-03,15,208
+97.2000E-03,15,0
+97.4000E-03,15,0
+97.6000E-03,15,0
+97.8000E-03,15,0
+98.0000E-03,15,0
+98.2000E-03,15,0
+98.4000E-03,15,0
+98.6000E-03,15,0
+98.8000E-03,15,0
+99.0000E-03,15,0
+99.2000E-03,15,32
+99.4000E-03,0,32
+99.6000E-03,0,32
+99.8000E-03,0,32
